photo_id,filename,permalink,credit,photo_url,downloaded
img24,pt1/img24.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img24,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_24/main_1500.jpg?1478729904,True
img25,pt1/img25.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img25,Netherlands Nationaal Archief,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_25/main_1500.jpg?1478729904,True
img26,pt1/img26.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img26,Deutsches Bundesarchiv,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_26/main_1500.jpg?1478729904,True
img27,pt1/img27.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img27,NARA / U.S. War Dept.,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_27/main_1500.jpg?1478729904,True
img28,pt1/img28.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img28,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_28/main_1500.jpg?1478729904,True
img29,pt1/img29.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img29,San Diego Air and Space Museum,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_29/main_1500.jpg?1478729904,True
img30,pt1/img30.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img30,Nationaal Archief,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_30/main_1500.jpg?1478729904,True
img31,pt1/img31.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img31,"CC BY
                
                
                
                Wellcome Library, London",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_31/main_1500.jpg?1478729904,True
img32,pt1/img32.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img32,National Archives,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_32/main_1500.jpg?1478729904,True
img33,pt1/img33.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img33,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_33/main_1500.jpg?1478729904,True
img34,pt1/img34.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img34,"CC BY
                
                
                
                Otis Historical Archives",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_34/main_1500.jpg?1478729904,True
img35,pt1/img35.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img35,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_35/main_1500.jpg?1478729904,True
img36,pt1/img36.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img36,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_36/main_1500.jpg?1478729904,True
